in,index,value
648,648,4.749737929915122
649,649,6.691131219502931
650,650,4.827064482238692
651,651,4.228615389633334
652,652,6.170595181410704
653,653,4.663691073178504
654,654,6.742441390753726
655,655,4.781198459370797
656,656,4.839010897776748
657,657,6.283754855880548
658,658,4.386851819095849
659,659,6.78293632986937
660,660,4.691795452755079
661,661,4.541513356085597
662,662,6.170195303018411
663,663,4.750814025070618
664,664,6.9240668046952365
665,665,4.631120804348846
666,666,4.858260363605182
667,667,6.307698224012184
668,668,5.689849661193309
669,669,6.092650063880077
670,670,4.352831971446484
671,671,4.285173774400668
672,672,6.58978015185359
673,673,4.290903540311447
674,674,6.509779570377784
675,675,4.813460239575457
676,676,4.542231387728441
677,677,6.225837143238186
678,678,5.262503347162715
679,679,6.5348441911016
680,680,4.800480617695851
681,681,4.231897923584909
682,682,6.636469436094647
683,683,4.194127009659909
684,684,7.170838766415427
685,685,4.922402655198623
686,686,4.5765614326073765
687,687,6.562428397977439
688,688,5.105391099707182
689,689,6.460302856836149
690,690,4.476272399347447
691,691,4.624573942031508
692,692,6.087734067714605
693,693,5.308561263692178
694,694,6.2421759624854865
695,695,4.812360699286234
696,696,4.607881785436085
697,697,6.797635893809497
698,698,4.574793656795915
699,699,6.909955276450101
700,700,4.361255445254413
701,701,4.545525505642927
702,702,5.842350599082857
703,703,5.18526939211023
704,704,6.53090409226912
705,705,4.637682635291425
706,706,4.5720828931163435
707,707,6.816212313940458
708,708,4.433872325343389
709,709,6.818287539573161
710,710,4.319975347206028
711,711,5.047192418740718
712,712,6.233985668929636
713,713,5.333252297437438
714,714,6.279136389432237
715,715,4.479264157372587
716,716,4.540978657487757
717,717,6.104183554472466
718,718,5.406114488546738
719,719,6.281893250570558
720,720,4.730833780532402
721,721,4.6676775836576025
722,722,6.794887277407733
723,723,4.2907815531041935
724,724,6.41630733008814
725,725,4.572735606815208
726,726,4.777572114957222
727,727,5.883961267887802
728,728,5.131316856886766
729,729,6.523631464319456
730,730,4.251876427976038
731,731,4.756284985268911
732,732,6.5162922736346705
733,733,4.3943478248684045
734,734,6.998671049804429
735,735,4.31270397592737
736,736,4.564418535009609
737,737,5.879838535075919
738,738,4.953351291437588
739,739,6.6508964769681
740,740,4.689595335790395
741,741,4.669250559917542
742,742,6.163554603152564
743,743,5.642346841264466
744,744,6.149166953989296
745,745,4.334434255298982
746,746,4.182109051837596
747,747,6.668749530660316
748,748,4.937204102313348
749,749,7.09331816486994
750,750,4.7790343459979265
751,751,4.748941874825672
752,752,5.82098089166062
753,753,5.115330635668688
754,754,6.510430592621691
755,755,4.776048729451427
756,756,4.951813350789107
757,757,6.707816037524113
758,758,4.469161902989074
759,759,7.03223156753759
760,760,4.991091895414791
761,761,4.78192788864114
762,762,6.311766594804183
763,763,5.568019721924608
764,764,6.758871746756531
765,765,4.576169734592487
766,766,4.906593801417987
767,767,6.144706537663031
768,768,5.632835236105724
769,769,6.230667164911004
770,770,4.556020679915604
771,771,4.578898218714136
772,772,6.801920412380828
773,773,4.799923771336626
774,774,6.821161730271237
775,775,4.917762179166546
776,776,4.747579875428492
777,777,6.152988823051363
778,778,5.044266193577778
779,779,6.508999258362964
780,780,4.4607763969432375
781,781,4.700655278290697
782,782,6.249188630724296
783,783,4.4379557707824695
784,784,6.996860882085969
785,785,4.506225297165062
786,786,4.858068499069237
787,787,6.442477932226206
788,788,5.485199251418021
789,789,6.342951218443593
790,790,4.435225410499092
791,791,4.804425409340914
792,792,6.048225524577532
793,793,5.67577282056585
794,794,6.197309034080488
795,795,4.413072712545663
796,796,5.010486969378578
797,797,6.56860606122072
798,798,4.74764409834517
799,799,6.961430946746102
800,800,4.631347380840959
801,801,4.651031061172022
802,802,6.133782931942902
803,803,4.72461187896029
804,804,6.4008012769698475
805,805,4.791343913263129
806,806,4.956928888392205
807,807,6.481009463265342
808,808,4.627573690611708
809,809,7.207034428488555
810,810,4.732420261022641
811,811,4.702040147738455
812,812,6.141933920539326
813,813,5.108717668916974
814,814,6.3950396686175655
815,815,4.849421005972546
816,816,4.959913161114466
817,817,6.213085130761564
818,818,5.60321377416679
819,819,5.815120212022292
820,820,4.269255564615122
821,821,4.432711269502131
822,822,6.958853704143975
823,823,4.583675190705719
824,824,7.1639431774504505
825,825,4.996147386992975
826,826,4.7576724191553685
827,827,6.196523553290142
828,828,5.362165756484504
829,829,6.724541313285719
830,830,4.368671846155979
831,831,4.946219618463965
832,832,6.175144180894577
833,833,4.531752889400795
834,834,6.887485635445049
835,835,4.534336877530445
836,836,4.690371146816901
837,837,6.1541281113012705
838,838,5.381581056434763
839,839,6.562238687267949
840,840,4.698694223080649
841,841,4.325223798763645
842,842,6.077958343649819
843,843,5.507022266463507
844,844,6.221096171573354
845,845,4.443439704581996
846,846,4.528713716800867
847,847,6.729464343798403
848,848,4.587180708802643
849,849,7.135040231169338
850,850,4.5555212730541035
851,851,4.378914216202388
852,852,6.059200643629016
853,853,5.170874107821398
854,854,6.876937135238753
855,855,4.896170913373423
856,856,4.4251654984161926
857,857,6.478710016523429
858,858,4.357391721090728
859,859,7.161252314783415
860,860,4.854296607477931
861,861,4.875401798953801
862,862,6.046469579533985
863,863,5.376544023569945
864,864,6.822251583667642
865,865,4.489583665851834
866,866,4.599271444695483
867,867,6.469386867056287
868,868,5.527538548533908
869,869,6.1287102822599
870,870,4.693617996708831
871,871,5.0606231137782665
872,872,6.831844753091394
873,873,5.119490838759896
874,874,6.905318137843874
875,875,4.64078707048571
876,876,4.570533472415008
877,877,6.25924836759271
878,878,4.726333200512498
879,879,6.582372325805537
880,880,4.801501142460976
881,881,4.607939043001454
882,882,6.267132404413448
883,883,4.45945047457141
884,884,6.912330544930084
885,885,4.657930000878341
886,886,4.401894190133099
887,887,6.177544655930383
888,888,5.343300365404951
889,889,6.538788619839975
890,890,4.533335987662253
891,891,4.7010141776628345
892,892,6.102518353588092
893,893,5.581045059771852
894,894,6.434404926435645
895,895,4.7050899754234425
896,896,4.622551930650419
897,897,6.710179296232452
898,898,4.67694077180461
899,899,6.6792614216765
900,900,4.681775861669248
901,901,4.476850152819194
902,902,5.674818850071765
903,903,5.197410609974614
904,904,6.702596125069501
905,905,4.577764521078813
906,906,4.873703815367737
907,907,6.131500265635385
908,908,4.513133881562576
909,909,7.216170027707646
910,910,4.683302365785156
911,911,4.676292220732295
912,912,6.294660383496587
913,913,5.26711997787771
914,914,6.535948753065245
915,915,4.59653660618879
916,916,5.0049793712905615
917,917,6.049219726106382
918,918,5.80918951999668
919,919,6.334210064853178
920,920,4.530411438200062
921,921,4.7377579645283525
922,922,6.626886561731199
923,923,4.865749065605442
924,924,6.856999503743001
925,925,4.902968882419204
926,926,4.77774986117607
927,927,6.25383132149018
928,928,5.121005929266706
929,929,6.4282041443499764
930,930,4.596860319274789
931,931,4.829405963726479
932,932,6.763918608429442
933,933,4.667115793933373
934,934,6.791664828429925
935,935,4.5232754837339275
936,936,4.859553745387135
937,937,6.118451809932359
938,938,5.017665695688851
939,939,6.425711145937008
940,940,4.339668134029786
941,941,4.4939083024937245
942,942,5.69139042831221
943,943,5.723406217706794
944,944,6.421433266764508
945,945,4.527636161711066
946,946,4.658666385625629
947,947,6.493778435094789
948,948,4.807759948203959
949,949,6.598827029439504
950,950,4.929258077152547
951,951,4.42618069946718
952,952,6.088148221837935
953,953,5.033909030873378
954,954,6.627481996652714
955,955,4.767852321167809
956,956,4.8271582490815685
957,957,6.592809670432673
958,958,4.890948945042805
959,959,6.597144560098858
960,960,4.677623398942467
961,961,4.6893109069419685
962,962,6.109325735393246
963,963,5.017809375730291
964,964,6.756941682728503
965,965,4.380729057110769
966,966,4.322855214570763
967,967,6.006597348341696
968,968,5.828895101987653
969,969,6.299416165998421
970,970,4.5742465929089935
971,971,4.4423101805343554
972,972,6.637422320096932
973,973,4.496383621306455
974,974,6.9428453492742115
975,975,5.205242811731985
976,976,4.393259234889819
977,977,5.9756135880501535
978,978,5.085591129491185
979,979,6.945738638511454
980,980,4.904450624411384
981,981,4.684541990908369
982,982,6.119415719773537
983,983,4.255875130119405
984,984,6.850885958356335
985,985,4.373356356835692
986,986,4.708047252470948
987,987,6.067314716786335
988,988,4.896382121958357
989,989,6.883692432993613
990,990,4.936379483567292
991,991,4.84603440578058
992,992,5.9848545154547725
993,993,5.490133407032233
994,994,6.232024990795878
995,995,4.167089136733866
996,996,4.7286410443685245
997,997,6.733231902978126
998,998,4.799194753564339
999,999,7.014694571940165
1000,1000,4.586303484423831
1001,1001,4.621698753378489
1002,1002,5.844960215177354
1003,1003,5.114767828079917
1004,1004,6.865161022601125
1005,1005,4.5924306451710475
1006,1006,4.784313607806332
1007,1007,6.17119239120758
1008,1008,4.371140217182555
1009,1009,6.618835854077986
1010,1010,4.56841319761937
1011,1011,4.9714075580206165
1012,1012,6.212903436008306
1013,1013,5.506658975461539
1014,1014,6.281903327585999
1015,1015,4.378118015347692
1016,1016,5.015802976465344
1017,1017,6.064816330213375
1018,1018,5.836636925862038
1019,1019,6.128666720735037
1020,1020,4.4978531374694715
1021,1021,4.791278580411772
1022,1022,6.7172700996347885
1023,1023,4.658377136170578
1024,1024,6.616233855833515
1025,1025,4.939265089424855
1026,1026,4.5771534956537
1027,1027,6.195360411380392
1028,1028,5.143115640794248
1029,1029,6.990011981142361
1030,1030,4.7008264156946415
1031,1031,4.407220126083502
1032,1032,6.388686979899572
1033,1033,4.488617030801309
1034,1034,7.127778722416179
1035,1035,4.385911971381247
1036,1036,4.7800338786493475
1037,1037,6.208897882433861
1038,1038,5.282676286097298
1039,1039,6.594269339578671
1040,1040,4.596997049517874
1041,1041,4.970668122834623
1042,1042,6.280233000175893
1043,1043,5.393257890700809
1044,1044,6.30833629577317
1045,1045,4.603043703971236
1046,1046,4.459836007136836
1047,1047,6.606835398497948
1048,1048,4.685287873811484
1049,1049,6.988051880956302
1050,1050,4.591507398290894
1051,1051,4.919606786295106
1052,1052,6.008069674686655
1053,1053,4.966544184675733
1054,1054,6.622447583025919
1055,1055,4.57021916686128
1056,1056,4.716238730498207
1057,1057,6.958481990491236
1058,1058,4.554002014711974
1059,1059,7.0208954948491735
1060,1060,4.591000028436511
1061,1061,4.725745404760089
1062,1062,6.062788087582087
1063,1063,5.231235642653532
1064,1064,6.6221396981029805
1065,1065,4.410903464190249
1066,1066,4.726942496500746
1067,1067,6.408478167673591
1068,1068,5.722417656020891
1069,1069,6.120084349579727
1070,1070,4.441925198743473
1071,1071,4.3025052865730204
1072,1072,6.634863203154264
1073,1073,4.595796566602788
1074,1074,6.376490606499841
1075,1075,4.977423014610708
1076,1076,4.911404550509851
1077,1077,5.647132381649573
1078,1078,4.660347229950042
1079,1079,6.5150484163131495
1080,1080,4.763148946315516
1081,1081,4.46604375186742
1082,1082,6.7683254748608555
1083,1083,4.553598330634413
1084,1084,7.278459454944469
1085,1085,4.553939967467738
1086,1086,4.948182604796748
1087,1087,6.139643017934187
1088,1088,5.223053275056763
1089,1089,6.725570182478953
1090,1090,4.624757311348796
1091,1091,4.829917972325481
1092,1092,5.998022624495168
1093,1093,5.520812515452146
1094,1094,5.851850085363305
1095,1095,4.4495681350437835
1096,1096,4.572281437269195
1097,1097,6.348537873639332
1098,1098,5.0240657857824855
1099,1099,6.818353993154451
1100,1100,4.652218948122349
1101,1101,4.541208777357605
1102,1102,6.191110260134865
1103,1103,5.062167203752068
1104,1104,6.873083224119286
1105,1105,4.758592141768583
1106,1106,4.489836313017887
1107,1107,6.479281402525846
1108,1108,4.698691680659325
1109,1109,6.867145613699237
1110,1110,5.05125865818875
1111,1111,4.404921311272291
1112,1112,6.270862295869
1113,1113,5.058349287093377
1114,1114,6.457745943776292
1115,1115,4.53183681475136
1116,1116,4.869261989654154
1117,1117,6.084729122288668
1118,1118,5.828684484434156
1119,1119,6.126687939130388
1120,1120,4.280954998848995
1121,1121,4.610897671137598
1122,1122,6.568086084812773
1123,1123,4.774084678643765
1124,1124,6.938158315834977
1125,1125,4.5756062729275975
1126,1126,4.367524342750032
1127,1127,5.926614727254983
1128,1128,4.9734828475239805
1129,1129,6.804219671071643
1130,1130,4.67153353940362
1131,1131,4.755486706710709
